customer,beta,dataset,run,strategy,segments,tabu_iterations,best_solution,best_solution_one_visit,best_solution_multi_visit,fitness_best_solution,fitness_best_solution_one_visit,fitness_best_solution_multi_visit,runtime_sec,best_t_segment
20,2,C101_2.dat,4,no_div,31,1042,"[[[[0, [1]], [11, [11]], [2, [2]], [7, [7]], [1, []], [9, [9]], [8, [8]], [6, [6]]], [[0, [4, 16, 3, 13]], [5, [5]], [3, []], [4, []], [10, [10, 18]], [13, [19, 15]], [17, [17, 14]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 20]], [20, []]]], [[[11, [11]]], [[5, [5]]], [[2, [2]]], [[10, [10, 18]]], [[7, [7]]], [[13, [19, 15]]], [[17, [17, 14]]], [[12, [12, 20]]], [[9, [9]]], [[8, [8]]], [[6, [6]]]]]","[[0, 11, 2, 7, 1, 9, 8, 6], [0, 5, 3, 4, 10, 13, 17, 18, 19, 15, 16, 14, 12, 20]]","[[[11, [11]]], [[5, [5]]], [[2, [2]]], [[10, [10, 18]]], [[7, [7]]], [[13, [19, 15]]], [[17, [17, 14]]], [[12, [12, 20]]], [[9, [9]]], [[8, [8]]], [[6, [6]]]]",372.7694182616366,372.7694182616366,372.7694182616366,183.7367477416992,18
20,2,C101_2.dat,4,div,20,712,"[[[[0, [4, 5, 16]], [7, [7, 20]], [5, []], [4, []], [12, [12, 14]], [16, []], [14, []], [20, []]], [[0, [13]], [1, [1, 11]], [2, [2]], [3, [3, 19]], [11, []], [10, [10, 18]], [13, []], [18, []], [19, []], [15, [15, 17]], [17, []], [9, [9]], [8, [8]], [6, [6]]]], [[[1, [1, 11]]], [[2, [2]]], [[3, [3, 19]]], [[10, [10, 18]]], [[7, [7, 20]]], [[15, [15, 17]]], [[12, [12, 14]]], [[9, [9]]], [[8, [8]]], [[6, [6]]]]]","[[0, 7, 5, 4, 12, 16, 14, 20], [0, 1, 2, 3, 11, 10, 13, 18, 19, 15, 17, 9, 8, 6]]","[[[1, [1, 11]]], [[2, [2]]], [[3, [3, 19]]], [[10, [10, 18]]], [[7, [7, 20]]], [[15, [15, 17]]], [[12, [12, 14]]], [[9, [9]]], [[8, [8]]], [[6, [6]]]]",376.862805856482,376.862805856482,376.862805856482,126.0888919830322,14
