seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
0,98,0,1,156.616,152.616,152.616,0,0,152.616
0,99,0,1,152.616,152.616,152.616,0,1,152.616
0,100,0,0,152.616,152.616,152.616,0,1,152.616
0,101,0,1,156.616,152.616,152.616,0,1,152.616
0,102,0,1,156.616,152.616,152.616,0,1,152.616
0,103,0,0,152.616,152.616,152.616,0,1,152.616
0,104,0,0,152.616,152.616,152.616,0,1,152.616
0,105,0,0,152.616,152.616,152.616,0,1,152.616
0,106,0,0,152.616,152.616,152.616,0,1,152.616
0,107,0,1,160,152.616,152.616,0,1,152.616
0,108,0,0,152.616,152.616,152.616,0,1,152.616
0,109,0,1,152.616,152.616,152.616,0,1,152.616
0,110,0,1,152.616,152.616,152.616,0,1,152.616
0,111,0,1,152.616,152.616,152.616,0,1,152.616
0,112,0,1,156.616,152.616,152.616,0,1,152.616
0,113,0,1,156.616,152.616,152.616,0,1,152.616
0,114,0,1,156.616,152.616,152.616,0,0,152.616
0,115,0,1,152.616,152.616,152.616,0,1,152.616
0,116,0,0,152.616,152.616,152.616,0,1,152.616
0,117,0,0,152.616,152.616,152.616,0,1,152.616
0,118,0,0,152.616,152.616,152.616,0,1,152.616
0,119,0,0,152.616,152.616,152.616,0,1,152.616
0,120,0,1,160,152.616,152.616,0,1,152.616
0,121,0,1,152.616,152.616,152.616,0,1,152.616
0,122,0,0,152.616,152.616,152.616,0,1,152.616
0,123,0,1,152.616,152.616,152.616,0,1,152.616
0,124,0,1,156.616,152.616,152.616,0,1,152.616
0,125,0,0,152.616,152.616,152.616,0,1,152.616
0,126,0,1,156.616,152.616,152.616,0,1,152.616
0,127,0,1,152.616,152.616,152.616,0,1,152.616
0,128,0,1,156.616,152.616,152.616,0,0,152.616
0,129,0,1,156,152.616,152.616,0,1,152.616
0,130,0,1,152.616,152.616,152.616,0,1,152.616
0,131,0,0,152.616,152.616,152.616,0,1,152.616
0,132,0,1,156.616,152.616,152.616,0,1,152.616
0,133,0,1,156.616,152.616,152.616,0,1,152.616
0,134,0,1,152.616,152.616,152.616,0,1,152.616
0,135,0,1,152.616,152.616,152.616,0,1,152.616
0,136,0,0,152.616,152.616,152.616,0,1,152.616
0,137,0,0,152.616,152.616,152.616,0,1,152.616
0,138,0,0,152.616,152.616,152.616,0,1,152.616
0,139,0,1,156.616,152.616,152.616,0,0,152.616
0,140,0,1,152.616,152.616,152.616,0,1,152.616
0,141,0,0,152.616,152.616,152.616,0,1,152.616
0,142,0,0,152.616,152.616,152.616,0,1,152.616
