Number_of_cities,Dataset,Run,Fitness,Runtime,Solution,A,Drone,Truck,folder
30,C101_0.5.dat,1,324.0,295.3037850856781,"[[[[0, [24, 16, 18, 15, 19, 17, 12, 13, 26, 29, 28, 30, 27]], [24, []], [29, []], [30, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, [14]], [12, []], [26, []], [28, []], [27, []]], [[0, [11, 10, 2, 1, 4, 23]], [5, [5]], [4, []], [2, []], [1, []], [9, [9, 20]], [8, [8, 3]], [3, []], [6, [6]], [10, []], [11, []], [7, [7]], [25, [25]], [23, []], [22, [22]], [21, [21]], [20, []]]], [[[5, [5]]], [[9, [9, 20]]], [[8, [8, 3]]], [[6, [6]]], [[14, [14]]], [[7, [7]]], [[25, [25]]], [[22, [22]]], [[21, [21]]]]]",4,2,2,appendix
30,C101_0.5.dat,2,322.862805856482,368.8286716938019,"[[[[0, [15, 30, 19, 18, 17, 27, 26, 16, 13]], [25, [25, 12]], [27, []], [30, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, [14]], [12, []], [26, []]], [[0, [2, 4, 11, 3, 23, 1, 29]], [5, [5]], [1, []], [2, []], [9, [9, 8]], [11, []], [8, []], [4, []], [3, []], [7, [7]], [6, [6]], [10, [10]], [23, []], [22, [22]], [29, []], [28, [28, 20]], [24, [24]], [21, [21]], [20, []]]], [[[5, [5]]], [[9, [9, 8]]], [[25, [25, 12]]], [[7, [7]]], [[6, [6]]], [[10, [10]]], [[14, [14]]], [[22, [22]]], [[28, [28, 20]]], [[24, [24]]], [[21, [21]]]]]",4,2,2,appendix
30,C101_0.5.dat,3,324.0,306.8236558437347,"[[[[0, [18, 30, 19, 28, 22, 27, 15, 13, 17, 26, 16, 23]], [20, [20, 12]], [22, []], [27, []], [28, []], [30, []], [17, []], [18, []], [19, []], [15, []], [16, []], [12, []], [14, [14]], [13, []], [26, []], [23, []]], [[0, [11, 29, 1, 2, 4, 10]], [5, [5]], [2, []], [1, []], [6, [6]], [4, []], [8, [8, 3]], [10, []], [3, []], [7, [7]], [11, []], [9, [9, 25]], [25, []], [29, []], [24, [24]], [21, [21]]]], [[[5, [5]]], [[20, [20, 12]]], [[6, [6]]], [[8, [8, 3]]], [[7, [7]]], [[9, [9, 25]]], [[14, [14]]], [[24, [24]]], [[21, [21]]]]]",4,2,2,appendix
30,C101_0.5.dat,4,323.0,283.2694356441498,"[[[[0, [19, 24, 28, 15, 23, 26, 30, 22, 18, 25, 17, 21, 13, 8, 29, 27]], [20, [20, 11]], [21, []], [22, []], [23, []], [26, []], [25, []], [24, []], [29, []], [27, []], [28, []], [30, []], [17, []], [18, []], [19, []], [15, []], [13, []], [11, []], [8, []]], [[0, [2, 1, 4, 16]], [5, [5]], [4, []], [3, [3]], [1, []], [2, []], [6, [6]], [9, [9]], [12, [12]], [16, []], [14, [14]], [10, [10]], [7, [7]]]], [[[5, [5]]], [[3, [3]]], [[20, [20, 11]]], [[6, [6]]], [[9, [9]]], [[12, [12]]], [[14, [14]]], [[10, [10]]], [[7, [7]]]]]",4,2,2,appendix
30,C101_0.5.dat,5,316.0,271.1833465099335,"[[[[0, [29, 30, 24, 27, 28, 10, 4, 21, 11, 2, 1]], [20, [20]], [21, []], [24, []], [25, [25, 3]], [27, []], [29, []], [30, []], [28, []], [11, []], [6, [6]], [2, []], [1, []], [4, []], [5, [5]], [10, []], [3, []], [7, [7]]], [[0, [16, 15, 9, 19, 18, 17, 13, 12, 14, 23, 26]], [9, []], [8, [8, 22]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [26, []], [23, []], [22, []]]], [[[20, [20]], [8, [8, 22]]], [[25, [25, 3]]], [[6, [6]]], [[5, [5]]], [[7, [7]]]]]",4,2,2,appendix
30,C101_0.5.dat,6,315.0,385.9964978694916,"[[[[0, [5, 28, 30, 3, 24, 10, 26, 29, 4, 22, 1, 2, 27]], [25, [25, 11]], [27, []], [29, []], [24, []], [22, []], [30, []], [28, []], [26, []], [11, []], [10, []], [5, []], [3, []], [4, []], [1, []], [2, []], [7, [7]]], [[0, [13, 15, 19, 16, 18, 23, 21]], [20, [20, 8, 9]], [21, []], [23, []], [12, [12, 17]], [14, [14]], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [9, []], [8, []], [6, [6]]]], [[[20, [20]]], [[20, [8, 9]]], [[25, [25, 11]]], [[12, [12, 17]]], [[14, [14]]], [[7, [7]]], [[6, [6]]]]]",4,2,2,appendix
30,C101_0.5.dat,7,308.0,272.24644947052,"[[[[0, [17, 28, 19, 15, 16, 27, 12, 13, 18, 9]], [27, []], [28, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, [14]], [12, []], [9, []]], [[0, [10, 1, 2, 3, 22, 26, 4, 23, 29]], [20, [20, 24]], [24, []], [29, []], [30, [30, 25]], [26, []], [25, []], [23, []], [22, []], [21, [21, 8]], [11, [11]], [10, []], [8, []], [5, [5]], [3, []], [4, []], [1, []], [2, []], [6, [6]], [7, [7]]]], [[[20, [20, 24]]], [[30, [30, 25]]], [[14, [14]]], [[21, [21, 8]]], [[11, [11]]], [[5, [5]]], [[6, [6]]], [[7, [7]]]]]",4,2,2,appendix
30,C101_0.5.dat,8,316.0,267.7436273097992,"[[[[0, [10, 24, 3, 22, 4, 27, 2, 1, 30, 29, 26, 21]], [25, [25]], [26, []], [30, []], [29, []], [27, []], [24, []], [22, []], [21, []], [10, []], [7, [7]], [3, []], [5, [5]], [4, []], [1, []], [2, []], [6, [6]], [8, [8, 9]], [9, []]], [[0, [16, 19, 14, 13, 18, 23, 11]], [20, [20, 28, 15]], [23, []], [28, []], [12, [12, 17]], [14, []], [16, []], [17, []], [18, []], [19, []], [15, []], [13, []], [11, []]]], [[[20, [20, 28]]], [[20, [15]]], [[12, [12, 17]]], [[25, [25]]], [[7, [7]]], [[5, [5]]], [[6, [6]]], [[8, [8, 9]]]]]",4,2,2,appendix
30,C101_0.5.dat,9,318.0,297.3084080219269,"[[[[0, [16, 26, 19, 15, 18, 12, 22, 21, 13, 27]], [21, []], [22, []], [26, []], [12, []], [14, [14]], [16, []], [15, []], [19, []], [18, []], [17, [17, 25]], [13, []], [28, [28]], [27, []], [25, []]], [[0, [3, 5, 10, 11, 1, 2, 29, 24, 23, 4]], [7, [7]], [6, [6]], [9, [9, 20]], [11, []], [8, [8, 30]], [4, []], [5, []], [3, []], [1, []], [2, []], [10, []], [23, []], [30, []], [24, []], [29, []], [20, []]]], [[[7, [7]]], [[6, [6]]], [[9, [9, 20]]], [[8, [8, 30]]], [[14, [14]]], [[17, [17, 25]]], [[28, [28]]]]]",4,2,2,appendix
30,C101_0.5.dat,10,318.1327459504216,427.4945385456085,"[[[[0, [15, 13, 17, 18, 19, 16, 12, 27, 26, 23]], [27, []], [13, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, [14]], [12, []], [26, []], [23, []]], [[0, [29, 4, 22, 10, 11, 2, 1]], [24, [24]], [20, [20, 21]], [21, []], [22, []], [25, [25, 28]], [29, []], [30, [30, 8]], [28, [9]], [10, []], [5, [5]], [8, []], [11, []], [9, []], [6, [6]], [2, []], [1, []], [4, []], [3, [3]], [7, [7]]]], [[[24, [24]]], [[20, [20, 21]]], [[25, [25, 28]]], [[30, [30, 8]]], [[28, [9]]], [[14, [14]]], [[5, [5]]], [[6, [6]]], [[3, [3]]], [[7, [7]]]]]",4,2,2,appendix
