row_index,instance,run,old_best_fitness,old_best_multi_visit_fitness,best_sol_initially_feasible,best_sol_repair_mode,best_multi_visit_initially_feasible,best_multi_visit_repair_mode,ats_engine,ats_segments_run,ats_loop_iterations,ats_time_limit_reached,ats_elapsed_sec,new_best_fitness,new_best_multi_visit_fitness,best_multi_visit_source,status,error,runtime_sec
1,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,1,523.8887869,,True,already_feasible,,missing,test_similarity,1,27,True,30.129,642,,,OK,,30.135
2,test_data/data_demand_random_50_batch_all1_equal_cluster/C201_0.5.dat,2,585.9800806,623.6619038,False,repair_solution_after_truck_routes,False,repair_solution_after_truck_routes,test_similarity,1,25,True,31.503,615,,,OK,,31.518
