customer,beta,dataset,run,strategy,segments,tabu_iterations,best_solution,best_solution_one_visit,best_solution_multi_visit,fitness_best_solution,fitness_best_solution_one_visit,fitness_best_solution_multi_visit,runtime_sec,best_t_segment
20,0.5,C201_0.5.dat,1,no_div,32,1041,"[[[[0, [1]], [5, [5]], [2, [2, 3]], [1, []], [7, [7]], [3, []], [4, [4]], [6, [6]]], [[0, [15, 11, 14, 10, 16, 20, 13]], [8, [8, 9, 17]], [10, []], [11, []], [9, []], [13, []], [18, [18]], [17, []], [15, []], [19, [19]], [14, []], [16, []], [12, [12]], [20, []]]], [[[5, [5]]], [[2, [2, 3]]], [[7, [7]]], [[8, [8, 9, 17]]], [[4, [4]]], [[18, [18]]], [[19, [19]]], [[12, [12]]], [[6, [6]]]]]","[[0, 5, 2, 1, 7, 3, 4, 6], [0, 8, 10, 11, 9, 13, 18, 17, 15, 19, 14, 16, 12, 20]]","[[[5, [5]]], [[2, [2, 3]]], [[7, [7]]], [[8, [8, 9, 17]]], [[4, [4]]], [[18, [18]]], [[19, [19]]], [[12, [12]]], [[6, [6]]]]",356.8295376925433,356.8295376925433,356.8295376925433,164.0776722431183,19
20,0.5,C201_0.5.dat,1,div,18,583,"[[[[0, [1, 13]], [5, [5, 3]], [7, [7]], [3, []], [4, [4]], [1, [2, 10]], [2, []], [17, [17, 9, 8]], [13, []], [9, []], [10, []], [8, []]], [[0, [20, 19, 16, 15, 14, 12, 6, 11]], [20, []], [6, []], [18, [18]], [19, []], [15, []], [16, []], [14, []], [12, []], [11, []]]], [[[5, [5, 3]]], [[7, [7]]], [[4, [4]]], [[1, [2, 10]]], [[18, [18]]], [[17, [17, 9, 8]]]]]","[[0, 5, 7, 3, 4, 1, 2, 17, 13, 9, 10, 8], [0, 20, 6, 18, 19, 15, 16, 14, 12, 11]]","[[[5, [5, 3]]], [[7, [7]]], [[4, [4]]], [[1, [2, 10]]], [[18, [18]]], [[17, [17, 9, 8]]]]",354,354,354,88.99910688400269,12
